연도,지역,대학명,전형 ,학과,면접유형,평가요소,면접문항
2024,서울,서울시립대,학생부종합,-,-,-,3학년 동아리활동에서 공급망 인플레이션에 대해 탐구했는데 개념을 정의해보세요 공급망 인플레이션이 발생하는 과정을 설명해보세요 공급망 인플레이션이 주변 사회에 어떤 영향을 주었나요 인플레이션 대응책으로 긴축재정정책과 국제공조를 제시했는데 이에 대해 설명해보세요.
2024,서울,서울시립대,학생부종합,-,-,-,1학년 동아리활동에서 사적제재를 허용해도 되는가 라는 주제의 토론에서 찬성 측의 입장으로 참여했는데 사적제재란 무엇인가요 사적제재 관련 법률에 대해 설명해보세요 관련 사례를 예시로 들어보세요 사적제재를 허용할 경우 어떤 문제점이 발생할까요?
2024,서울,서울시립대,학생부종합,-,-,-,3학년 동아리활동에서 아파트의 구조와 안정성을 한옥과 비교하는 연구를 진행했는데아파트와 한옥의 구조적 차이를 설명해보세요 두 건축물 중 어느 쪽이 더 안정성이 높을까요 그 이유는 무엇인가요.
2024,서울,서울시립대,학생부종합,-,-,-,2학년 진로활동에서 파인만의 가지 물리 이야기란 책을 읽었는데 우주의 기본 상호작용 가지가 무엇인지 설명해보세요 양자역학의 해석 중 무엇이 더 합리적이라고 생각하나요 그 이유는 무엇인가요.
2024,서울,서울시립대,학생부종합,-,-,-,3학년 진로활동에서 제베크 효과와 펠티에 효과 관련 실험을 진행했던데 각각을 정의해보세요 당시 실험 내용을 설명해보세요 실험 전 세운 가설과 결과가 달랐던 이유는 무엇인가요 열전효과에 대해 설명해보세요 실험을 통해 어떤 결과를 알 수 있었나요 현실에서 어떻게 응용할 수 있을까요?
2024,서울,한국체대,-,-,-,인성,장애인에 대한 사회적인 인식에 대하여 본인의 평소 생각을 말해주세요
2024,서울,한국체대,-,-,-,논리성,부의 사교육비 경감 대책에도 불구하고 사교육비 지출이 많은 이유를 설명해주세요
2024,서울,한국체대,-,-,-,창의성,장애인을 위한 서비스나 제품을 혁신적으로 개발한다면 어떤 아이디어가 있습니까?
2024,서울,한국체대,-,-,-,학업적성,본인이 가장 좋아하며 하고 싶은 공부는 무엇이며 그 이유를 3가지 이내로 요약하여 2분 이내에 말해주세요.
2024,서울,가톨릭대, 재외국민과 외국인 특별전형,-,서류기반면접,전공 수학능력,해당 전공을 선택한 이유가 무엇인가요?
2024,서울,가톨릭대, 재외국민과 외국인 특별전형,-,서류기반면접,전공 수학능력,해당 전공에서 공부하게 될 내용이 무엇인지 찾아본 적 있나요?
2024,서울,가톨릭대, 재외국민과 외국인 특별전형,-,서류기반면접,전공 수학능력,동아리에 가입한 적이 있나요? 그 동아리에서는 주로 어떤 활동을 했었나요? 
2024,서울,가톨릭대, 재외국민과 외국인 특별전형,-,서류기반면접,전공 수학능력,다른 과목에 비해 수학 과목의 성적이 특히 좋지 못한데 그 이유는 무엇이라고 생각하나요?
2024,서울,가톨릭대, 재외국민과 외국인 특별전형,-,서류기반면접,인성 및 가치관,학생의 가치관을 형성하는 데에 도움을 받았던 선생님이 계신가요? 어떤 과목의 선생님이셨고 어떠한 도움을 주셨나요?
2024,서울,가톨릭대, 재외국민과 외국인 특별전형,-,서류기반면접,인성 및 가치관,동아리에서 활동하는 동안 다른 학생과 생각이 달라서 충돌했던 경험이 있나요? 있다면 어떤 경험이었나요? 그 일은 어떻게 해결되었나요? 그 일을 통해 배운 점은 무엇인가요?
2024,서울,가톨릭대, 재외국민과 외국인 특별전형,-,서류기반면접,인성 및 가치관,학교를 다니면서 가장 힘들었던 일은 무엇인가요? 그 일이 특히 어떤 점 때문에 학생을 힘들게 하였나요? 그 일을 해결하기 위해 시도해 보았던 일은 없나요?
2024,서울,가톨릭대,학생부 종합전형,-,서류기반면접,전공적합성,"1학년 수학 수업에서 발표를 하여 학우들의 좋은 호응을 받았다고 했는데, 어떤 점을 인정받은 것이며 그 활동을 통해서 얻은 점을 말해 보세요. "
